Room,Campus,Capacity,Room Type,Frequency,Occupancy,Utilization
0254_01_1.07,Central,12,Boardroom Style,0.21996386630532963,0.8529411764705882,0.18761623890748702
0254_01_1.08,Central,16,Boardroom Style,0.2749749749749749,0.7879098360655737,0.21665548745466773
0254_01_1.09,Central,8,Boardroom Style,0.04874874874874875,0.5416666666666666,0.02640557223890557
0254_01_1.01,Central,8,Boardroom Style,0.10200200200200206,0.8916666666666667,0.09095178511845184
0254_01_1.10,Central,14,Boardroom Style,0.25058717253839186,0.8155844155844156,0.20437499266767545
0254_01_1.12,Central,10,Classroom Style,0.1829268292682927,0.9153846153846152,0.1674484052532833
0254_01_1.03,Central,16,Boardroom Style,0.21821821821821813,0.8173076923076923,0.17835142835142828
0254_01_1.04,Central,16,Classroom Style,0.22042042042042043,0.9095744680851063,0.2004887866589994
0254_01_1.5A,Central,8,Boardroom Style,0.09465020576131687,0.765,0.0724074074074074
0254_01_1.06,Central,12,Boardroom Style,0.1753387533875338,0.8675213675213674,0.15211011511824513
0228_01_1.01,Central,14,Boardroom Style,0.31751751751751767,1.0553319919517101,0.3350863942413239
0228_01_1.18,Central,12,Boardroom Style,0.3178178178178177,1.142018779342723,0.3629539163576721
0228_02_2.18,Central,12,Boardroom Style,0.28118118118118113,0.9908854166666667,0.2786183318735402
0228_03_3.01,Central,24,Classroom Style,0.23673673673673676,0.8442982456140351,0.19987641149921853
0228_04_4.18,Central,25,Classroom Style,0.26886886886886885,0.8820253164556959,0.23714914914914906
0228_07_7.01,Central,18,Classroom Style,0.3930930930930932,0.8739076154806493,0.343527047646898
0228_07_7.18,Central,24,Classroom Style,0.3905405405405405,0.6635416666666667,0.25913992117117113
0228_09_9.01,Central,16,Classroom Style,0.35365365365365364,0.875,0.30944694694694697
0228_09_9.18,Central,25,Classroom Style,0.37992992992993,0.8821052631578947,0.3351381908224014
0228_11_11.01,Central,16,Boardroom Style,0.3566566566566566,0.9041193181818182,0.3224601732414232
0228_11_11.06,Central,18,Classroom Style,0.29179179179179177,0.5655270655270653,0.16501615575689643
0228_11_11.11,Central,15,Boardroom Style,0.326226226226226,0.927956989247312,0.3027239067024011
0228_11_11.18,Central,24,Classroom Style,0.39399399399399393,0.6697916666666667,0.26389389389389384
0228_12_12.18,Central,13,Boardroom Style,0.33273273273273274,0.9464882943143813,0.3149276366667671
0228_13_13.07,Central,15,Boardroom Style,0.35505505505505514,0.95962441314554,0.3407194988415647
0229_01_1.A,Central,350,Lecture Theatre,0.3502502502502503,0.8605005213764337,0.3013905229525668
0229_01_1.B,Central,250,Lecture Theatre,0.3396896896896897,0.7230526315789474,0.24561352405036618
0229_01_1.C,Central,250,Lecture Theatre,0.2912412412412414,0.709111111111111,0.2065224001779558
0228_-1_LG.06,Central,35,Classroom Style,0.33433433433433435,0.7714285714285714,0.2579150579150579
0228_-1_LG.08,Central,36,Classroom Style,0.3624124124124124,0.7093621399176955,0.25708164440160325
0228_-1_LG.09,Central,96,Lecture Theatre,0.3483483483483483,0.7447916666666667,0.259446946946947
0228_-1_LG.10,Central,36,Classroom Style,0.2652652652652652,0.6843971631205675,0.18154679502197235
0228_-1_LG.11,Central,78,Classroom Style,0.36476476476476466,0.8013806706114399,0.2923154318026112
0227_00_G.01,Central,30,Classroom Style,0.430930930930931,0.8042328042328043,0.3465687910132355
0227_00_G.02,Central,36,Classroom Style,0.42632632632632644,0.7031509121061359,0.2997717452112146
0227_00_G.03,Central,255,Lecture Theatre,0.28438438438438457,0.7135154061624649,0.20291263953028668
0227_00_G.04,Central,100,Lecture Theatre,0.4222222222222222,0.5236363636363637,0.22109090909090912
0227_00_G.05,Central,44,Classroom Style,0.3950950950950951,0.6047765793528503,0.23894426013070075
0227_00_G.06,Central,64,Classroom Style,0.33228228228228224,0.5163043478260869,0.17155878704791744
0227_02_2.03,Central,18,Boardroom Style,0.4516516516516516,0.7612847222222222,0.34383550216883546
0227_02_2.13,Central,10,Boardroom Style,0.23788788788788792,0.876923076923077,0.20860937860937867
0227_02_2.14,Central,15,Boardroom Style,0.4257257257257256,0.9333333333333333,0.3973440106773439
0227_02_2.29,Central,15,Boardroom Style,0.3859859859859858,0.8949771689497719,0.34544864499202393
